file,host,port,proto,state,service
reporte1.txt,66.96.34.20,102,tcp,filtered,iso-tsap
reporte1.txt,66.96.34.20,445,tcp,filtered,microsoft-ds
reporte1.txt,66.96.34.20,502,tcp,filtered,mbap
reporte1.txt,66.96.34.20,1433,tcp,filtered,ms-sql-s
reporte1.txt,66.96.34.20,2004,tcp,filtered,mailbox
reporte1.txt,66.96.34.20,2222,tcp,filtered,EtherNetIP-1
reporte1.txt,66.96.34.20,3306,tcp,filtered,mysql
reporte1.txt,66.96.34.20,9600,tcp,filtered,micromuse-ncpw
reporte1.txt,66.96.34.20,20548,tcp,filtered,unknown
reporte1.txt,66.96.34.20,28784,tcp,filtered,unknown
reporte1.txt,66.96.34.20,44818,tcp,filtered,EtherNetIP-2
reporte1.txt,66.96.34.20,57176,tcp,filtered,unknown
reporte1.txt,66.96.34.60,102,tcp,filtered,iso-tsap
reporte1.txt,66.96.34.60,445,tcp,filtered,microsoft-ds
reporte1.txt,66.96.34.60,502,tcp,filtered,mbap
reporte1.txt,66.96.34.60,1433,tcp,filtered,ms-sql-s
reporte1.txt,66.96.34.60,2004,tcp,filtered,mailbox
reporte1.txt,66.96.34.60,2222,tcp,filtered,EtherNetIP-1
reporte1.txt,66.96.34.60,3306,tcp,filtered,mysql
reporte1.txt,66.96.34.60,9600,tcp,filtered,micromuse-ncpw
reporte1.txt,66.96.34.60,20548,tcp,filtered,unknown
reporte1.txt,66.96.34.60,28784,tcp,filtered,unknown
reporte1.txt,66.96.34.60,44818,tcp,filtered,EtherNetIP-2
reporte1.txt,66.96.34.60,57176,tcp,filtered,unknown
reporte1.txt,66.96.34.138,102,tcp,filtered,iso-tsap
reporte1.txt,66.96.34.138,445,tcp,filtered,microsoft-ds
reporte1.txt,66.96.34.138,502,tcp,filtered,mbap
reporte1.txt,66.96.34.138,1433,tcp,filtered,ms-sql-s
reporte1.txt,66.96.34.138,2004,tcp,filtered,mailbox
reporte1.txt,66.96.34.138,2222,tcp,filtered,EtherNetIP-1
reporte1.txt,66.96.34.138,3306,tcp,filtered,mysql
reporte1.txt,66.96.34.138,9600,tcp,filtered,micromuse-ncpw
reporte1.txt,66.96.34.138,20548,tcp,filtered,unknown
reporte1.txt,66.96.34.138,28784,tcp,filtered,unknown
reporte1.txt,66.96.34.138,44818,tcp,filtered,EtherNetIP-2
reporte1.txt,66.96.34.138,57176,tcp,filtered,unknown
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),102,tcp,filtered,iso-tsap
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),445,tcp,filtered,microsoft-ds
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),502,tcp,filtered,mbap
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),1433,tcp,filtered,ms-sql-s
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),2004,tcp,filtered,mailbox
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),2222,tcp,filtered,EtherNetIP-1
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),3306,tcp,filtered,mysql
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),9600,tcp,filtered,micromuse-ncpw
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),20548,tcp,filtered,unknown
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),28784,tcp,filtered,unknown
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),44818,tcp,filtered,EtherNetIP-2
reporte1.txt,hvmmex02.havasmedia.com (66.96.35.11),57176,tcp,filtered,unknown
reporte1.txt,66.96.35.249,102,tcp,filtered,iso-tsap
reporte1.txt,66.96.35.249,445,tcp,filtered,microsoft-ds
reporte1.txt,66.96.35.249,502,tcp,filtered,mbap
reporte1.txt,66.96.35.249,1433,tcp,filtered,ms-sql-s
reporte1.txt,66.96.35.249,2004,tcp,filtered,mailbox
reporte1.txt,66.96.35.249,2222,tcp,filtered,EtherNetIP-1
reporte1.txt,66.96.35.249,3306,tcp,filtered,mysql
reporte1.txt,66.96.35.249,9600,tcp,filtered,micromuse-ncpw
reporte1.txt,66.96.35.249,20548,tcp,filtered,unknown
reporte1.txt,66.96.35.249,28784,tcp,filtered,unknown
reporte1.txt,66.96.35.249,44818,tcp,filtered,EtherNetIP-2
reporte1.txt,66.96.35.249,57176,tcp,filtered,unknown
reporte1.txt,66.96.35.254,102,tcp,filtered,iso-tsap
reporte1.txt,66.96.35.254,445,tcp,filtered,microsoft-ds
reporte1.txt,66.96.35.254,502,tcp,filtered,mbap
